id,node_id,hub_id,span,span2hub,direction,type
450,ZN0417,ZN1308,30,12510,内圈,主线
451,ZN0418,ZN1308,30,12540,内圈,主线
452,ZN0419,ZN1308,30,12570,内圈,主线
453,ZN0420,ZN1308,30,12600,内圈,主线
454,ZN0421,ZN1308,30,12630,内圈,主线
455,ZN0422,ZN1308,30,12660,内圈,主线
456,ZN0423,ZN1308,30,12690,内圈,主线
457,ZN0424,ZN1308,30,12720,内圈,主线
458,ZN0425,ZN1308,30,12750,内圈,主线
459,ZN0426,ZN1308,30,12780,内圈,主线
460,ZN0427,ZN1308,30,12810,内圈,主线
461,ZN0428,ZN1308,30,12840,内圈,主线
462,ZN0429,ZN1308,30,12870,内圈,主线
463,ZN0430,ZN1308,30,12900,内圈,主线
464,ZN0431,ZN1308,30,12930,内圈,主线
465,ZN0432,ZN1308,30,12960,内圈,主线
466,ZN0433,ZN1308,30,12990,内圈,主线
467,ZN0434,ZN1308,30,13020,内圈,主线
468,ZN0435,ZN1308,30,13050,内圈,主线
469,ZN0436,ZN1308,30,13080,内圈,主线
470,ZN0437,ZN1308,30,13110,内圈,主线
471,ZN0438,ZN1308,30,13140,内圈,主线
472,ZN0439,ZN1308,30,13170,内圈,主线
473,ZN0440,ZN1308,30,13200,内圈,主线
474,ZN0441,ZN1308,30,13230,内圈,主线
475,ZN0442,ZN1308,30,13260,内圈,主线
476,ZN0443,ZN1308,30,13290,内圈,主线
477,ZN0444,ZN1308,30,13320,内圈,主线
478,ZN0445,ZN1308,30,13350,内圈,主线
479,ZN0446,ZN1308,30,13380,内圈,主线
480,ZN0447,ZN1308,30,13410,内圈,主线
481,ZN0448,ZN1308,30,13440,内圈,主线
482,ZN0449,ZN1308,30,13470,内圈,主线
483,ZN0450,ZN1308,30,13500,内圈,主线
484,ZN0451,ZN1308,30,13530,内圈,主线
485,ZN0452,ZN1308,30,13560,内圈,主线
486,ZN0453,ZN1308,30,13590,内圈,主线
